name,population
"Juarina, TO",2202
"Lagoa da Confusão, TO",13034
"Lagoa do Tocantins, TO",4237
"Lajeado, TO",3101
"Lavandeira, TO",1892
"Lizarda, TO",3748
"Luzinópolis, TO",3060
"Marianópolis do Tocantins, TO",5094
"Mateiros, TO",2638
"Maurilândia do Tocantins, TO",3403
"Miracema do Tocantins, TO",18566
"Miranorte, TO",13375
"Monte do Carmo, TO",7827
"Monte Santo do Tocantins, TO",2263
"Palmeiras do Tocantins, TO",6570
"Muricilândia, TO",3514
"Natividade, TO",9239
"Nazaré, TO",3959
"Nova Olinda, TO",11719
"Nova Rosalândia, TO",4215
"Novo Acordo, TO",4287
"Novo Alegre, TO",2332
"Novo Jardim, TO",2698
"Oliveira de Fátima, TO",1106
"Palmeirante, TO",5919
"Palmeirópolis, TO",7641
"Paraíso do Tocantins, TO",50602
"Paranã, TO",10461
"Pau D'Arco, TO",4831
"Pedro Afonso, TO",13380
"Peixe, TO",11623
"Pequizeiro, TO",5443
"Colméia, TO",8270
"Pindorama do Tocantins, TO",4464
"Piraquê, TO",3023
"Pium, TO",7564
"Ponte Alta do Bom Jesus, TO",4601
"Ponte Alta do Tocantins, TO",7961
"Porto Alegre do Tocantins, TO",3108
"Porto Nacional, TO",52700
"Praia Norte, TO",8365
"Presidente Kennedy, TO",3692
"Pugmil, TO",2659
"Recursolândia, TO",4244
"Riachinho, TO",4604
"Rio da Conceição, TO",2088
"Rio dos Bois, TO",2811
"Rio Sono, TO",6468
"Sampaio, TO",4627
"Sandolândia, TO",3378
"Santa Fé do Araguaia, TO",7426
"Santa Maria do Tocantins, TO",3381
"Santa Rita do Tocantins, TO",2344
"Santa Rosa do Tocantins, TO",4811
"Santa Tereza do Tocantins, TO",2834
"Santa Terezinha do Tocantins, TO",2528
"São Bento do Tocantins, TO",5256
"São Félix do Tocantins, TO",1572
"São Miguel do Tocantins, TO",11967
"São Salvador do Tocantins, TO",3070
"São Sebastião do Tocantins, TO",4757
"São Valério, TO",4017
"Silvanópolis, TO",5378
"Sítio Novo do Tocantins, TO",9078
"Sucupira, TO",1946
"Taguatinga, TO",16538
"Taipas do Tocantins, TO",2131
"Talismã, TO",2773
"Palmas, TO",291855
"Tocantínia, TO",7471
"Tocantinópolis, TO",22896
"Tupirama, TO",1860
"Tupiratins, TO",2613
"Wanderlândia, TO",11631
"Xambioá, TO",11561
"Açailândia, MA",111757
"Afonso Cunha, MA",6469
"Água Doce do Maranhão, MA",12488
"Alcântara, MA",22083
"Aldeias Altas, MA",26302
"Altamira do Maranhão, MA",8066
"Alto Alegre do Maranhão, MA",26839
"Alto Alegre do Pindaré, MA",31894
"Alto Parnaíba, MA",11168
"Amapá do Maranhão, MA",6918
"Amarante do Maranhão, MA",41136
"Anajatuba, MA",26614
"Anapurus, MA",15566
"Apicum-Açu, MA",17063
"Araguanã, MA",15297
"Araioses, MA",46103
"Arame, MA",32637
"Arari, MA",29764
"Axixá, MA",12076
"Bacabal, MA",104633
"Bacabeira, MA",16855
"Bacuri, MA",18508
"Bacurituba, MA",5617
"Balsas, MA",93826
"Barão de Grajaú, MA",18714
"Barra do Corda, MA",87794
"Barreirinhas, MA",61828
"Belágua, MA",7409
"Bela Vista do Maranhão, MA",11138
"Benedito Leite, MA",5627
"Bequimão, MA",21260
"Bernardo do Mearim, MA",6011
"Boa Vista do Gurupi, MA",9158
"Bom Jardim, MA",41435
"Bom Jesus das Selvas, MA",33479
"Bom Lugar, MA",16148
"Brejo, MA",36139
"Brejo de Areia, MA",9367
"Buriti, MA",28557
"Buriti Bravo, MA",23827
"Buriticupu, MA",71723
"Buritirana, MA",15393
"Cachoeira Grande, MA",9382
"Cajapió, MA",11136
"Cajari, MA",19307
"Campestre do Maranhão, MA",14294
"Cândido Mendes, MA",20076
"Cantanhede, MA",21872
"Capinzal do Norte, MA",10932
"Carolina, MA",24337
"Carutapera, MA",23658
"Caxias, MA",164224
"Cedral, MA",10657
"Central do Maranhão, MA",8604
"Centro do Guilherme, MA",13243
"Centro Novo do Maranhão, MA",21399
"Chapadinha, MA",79145
"Cidelândia, MA",14617
"Codó, MA",122597
"Coelho Neto, MA",49246
"Colinas, MA",41042
"Conceição do Lago-Açu, MA",16072
"Coroatá, MA",65044
"Cururupu, MA",32765
"Davinópolis, MA",12901
"Dom Pedro, MA",23328
"Duque Bacelar, MA",11296
"Esperantinópolis, MA",17379
"Estreito, MA",41355
"Feira Nova do Maranhão, MA",8481
"Fernando Falcão, MA",10258
"Formosa da Serra Negra, MA",18917
"Fortaleza dos Nogueiras, MA",12615
"Fortuna, MA",15536
"Godofredo Viana, MA",11672
"Gonçalves Dias, MA",17924
"Governador Archer, MA",10793
"Governador Edison Lobão, MA",18068
"Governador Eugênio Barros, MA",16772
"Governador Luiz Rocha, MA",7772
"Governador Newton Bello, MA",10211
"Governador Nunes Freire, MA",25616
"Graça Aranha, MA",6263
"Grajaú, MA",68876
"Guimarães, MA",12063
"Humberto de Campos, MA",28498
"Icatu, MA",26953
"Igarapé do Meio, MA",14026
"Igarapé Grande, MA",11252
"Imperatriz, MA",258016
"Itaipava do Grajaú, MA",15897
"Itapecuru Mirim, MA",67673
"Itinga do Maranhão, MA",25932
"Jatobá, MA",9993
"Jenipapo dos Vieiras, MA",16432
"João Lisboa, MA",23696
"Joselândia, MA",16136
"Junco do Maranhão, MA",3506
"Lago da Pedra, MA",49911
"Lago do Junco, MA",10808
"Lago Verde, MA",16199
"Lagoa do Mato, MA",11235
"Lago dos Rodrigues, MA",8889
"Lagoa Grande do Maranhão, MA",11320
"Lajeado Novo, MA",7496
"Lima Campos, MA",11867
"Loreto, MA",12098
"Luís Domingues, MA",6917
"Magalhães de Almeida, MA",19620
"Maracaçumé, MA",21201
"Marajá do Sena, MA",7810
"Maranhãozinho, MA",16013
"Mata Roma, MA",16679
"Matinha, MA",23256
"Matões, MA",33615
"Matões do Norte, MA",16451
"Milagres do Maranhão, MA",8445
"Mirador, MA",21000
"Miranda do Norte, MA",28001
"Mirinzal, MA",14913
"Monção, MA",33201
"Montes Altos, MA",9209
"Morros, MA",19292
"Nina Rodrigues, MA",14264
"Nova Colinas, MA",5340
"Nova Iorque, MA",4683
"Nova Olinda do Maranhão, MA",20774
"Olho d'Água das Cunhãs, MA",19448
"Olinda Nova do Maranhão, MA",14563
"Paço do Lumiar, MA",120621
"Palmeirândia, MA",19661
"Paraibano, MA",21290
"Parnarama, MA",34805
"Passagem Franca, MA",18898
"Pastos Bons, MA",19358
"Paulino Neves, MA",15901
"Paulo Ramos, MA",21015
"Pedreiras, MA",39267
"Pedro do Rosário, MA",24930
"Penalva, MA",38203
"Peri Mirim, MA",14291
"Peritoró, MA",23025
"Pindaré-Mirim, MA",32815
"Pinheiro, MA",82990
"Pio XII, MA",21594
"Pirapemas, MA",18527
"Poção de Pedras, MA",18157
"Porto Franco, MA",23675
"Porto Rico do Maranhão, MA",5995
"Presidente Dutra, MA",47567
"Presidente Juscelino, MA",12629
"Presidente Médici, MA",6959
"Presidente Sarney, MA",18764
"Presidente Vargas, MA",11124
"Primeira Cruz, MA",15197
"Raposa, MA",30337
"Riachão, MA",20243
"Ribamar Fiquene, MA",7755
"Rosário, MA",42482
"Sambaíba, MA",5663
"Santa Filomena do Maranhão, MA",7719
"Santa Helena, MA",41770
"Santa Inês, MA",88590
"Santa Luzia, MA",72440
"Santa Luzia do Paruá, MA",25134
"Santa Quitéria do Maranhão, MA",25519
"Santa Rita, MA",37404
"Santana do Maranhão, MA",13223
"Santo Amaro do Maranhão, MA",15654
"Santo Antônio dos Lopes, MA",14534
