name,population
"Sarasota County, FL",426718
"Seminole County, FL",467832
"Sumter County, FL",128754
"Suwannee County, FL",44191
"Taylor County, FL",21623
"Union County, FL",14940
"Volusia County, FL",547538
"Wakulla County, FL",32461
"Walton County, FL",71375
"Washington County, FL",24880
"Appling County, GA",18507
"Atkinson County, GA",8297
"Bacon County, GA",11185
"Baker County, GA",3092
"Baldwin County, GA",44823
"Banks County, GA",18988
"Barrow County, GA",80809
"Bartow County, GA",106408
"Ben Hill County, GA",16787
"Berrien County, GA",19252
"Bibb County, GA",153095
"Bleckley County, GA",12838
"Brantley County, GA",18897
"Brooks County, GA",15513
"Bryan County, GA",38109
"Bulloch County, GA",77296
"Burke County, GA",22423
"Butts County, GA",24193
"Calhoun County, GA",6352
"Camden County, GA",53677
"Candler County, GA",10836
"Carroll County, GA",118121
"Catoosa County, GA",67420
"Charlton County, GA",12968
"Chatham County, GA",289195
"Chattahoochee County, GA",10684
"Chattooga County, GA",24790
"Cherokee County, GA",254149
"Clarke County, GA",127330
"Clay County, GA",2887
"Clayton County, GA",289615
"Clinch County, GA",6648
"Cobb County, GA",756865
"Coffee County, GA",43093
"Colquitt County, GA",45592
"Columbia County, GA",154291
"Cook County, GA",17162
"Coweta County, GA",145864
"Crawford County, GA",12318
"Crisp County, GA",22601
"Dade County, GA",16226
"Dawson County, GA",25083
"Decatur County, GA",26575
"DeKalb County, GA",756558
"Dodge County, GA",20705
"Dooly County, GA",13706
"Dougherty County, GA",91243
"Douglas County, GA",145331
"Early County, GA",10247
"Echols County, GA",4000
"Effingham County, GA",62190
"Elbert County, GA",19120
"Emanuel County, GA",22612
"Evans County, GA",10721
"Fannin County, GA",25964
"Fayette County, GA",113459
"Floyd County, GA",97927
"Forsyth County, GA",236612
"Franklin County, GA",23023
"Fulton County, GA",1050114
"Gilmer County, GA",30816
"Glascock County, GA",2995
"Glynn County, GA",85219
"Gordon County, GA",57685
"Grady County, GA",24748
"Greene County, GA",17698
"Gwinnett County, GA",927781
"Habersham County, GA",45388
"Hall County, GA",202148
"Hancock County, GA",8348
"Haralson County, GA",29533
"Harris County, GA",34475
"Hart County, GA",26099
"Heard County, GA",11879
"Henry County, GA",230220
"Houston County, GA",155469
"Irwin County, GA",9398
"Jackson County, GA",70422
"Jasper County, GA",14040
"Jeff Davis County, GA",15029
"Jefferson County, GA",15430
"Jenkins County, GA",8683
"Johnson County, GA",9708
"Jones County, GA",28616
"Lamar County, GA",19000
"Lanier County, GA",10340
"Laurens County, GA",47325
"Lee County, GA",29764
"Liberty County, GA",61497
"Lincoln County, GA",7915
"Long County, GA",18998
"Lowndes County, GA",116321
"Lumpkin County, GA",32955
"McDuffie County, GA",21531
"McIntosh County, GA",14340
"Macon County, GA",13143
"Madison County, GA",29650
"Marion County, GA",8351
"Meriwether County, GA",21068
"Miller County, GA",5686
"Mitchell County, GA",22192
"Monroe County, GA",27520
"Montgomery County, GA",9193
"Morgan County, GA",18853
"Murray County, GA",39921
"Muscogee County, GA",194160
"Newton County, GA",109541
"Oconee County, GA",39272
"Oglethorpe County, GA",15054
"Paulding County, GA",164044
"Peach County, GA",27297
"Pickens County, GA",31980
"Pierce County, GA",19389
"Pike County, GA",18634
"Polk County, GA",42470
"Pulaski County, GA",11069
"Putnam County, GA",21809
"Quitman County, GA",2279
"Rabun County, GA",16867
"Randolph County, GA",6833
"Richmond County, GA",201554
"Rockdale County, GA",90594
"Schley County, GA",5236
"Screven County, GA",13938
"Seminole County, GA",8315
"Spalding County, GA",66100
"Stephens County, GA",26035
"Stewart County, GA",6199
"Sumter County, GA",29733
"Talbot County, GA",6272
"Taliaferro County, GA",1608
"Tattnall County, GA",25391
"Taylor County, GA",8039
"Telfair County, GA",15876
"Terrell County, GA",8611
"Thomas County, GA",44448
"Tift County, GA",40571
"Toombs County, GA",26887
"Towns County, GA",11852
"Treutlen County, GA",6809
"Troup County, GA",70034
"Turner County, GA",7912
"Twiggs County, GA",8188
"Union County, GA",24001
"Upson County, GA",26215
"Walker County, GA",69410
"Walton County, GA",93503
"Ware County, GA",35680
"Warren County, GA",5251
"Washington County, GA",20386
"Wayne County, GA",29808
"Webster County, GA",2611
"Wheeler County, GA",7879
"White County, GA",29970
"Whitfield County, GA",104062
"Wilcox County, GA",8812
"Wilkes County, GA",9876
"Wilkinson County, GA",9036
"Worth County, GA",20299
"Hawaii County, HI",200983
"Honolulu County, HI",980080
"Kalawao County, HI",88
"Kauai County, HI",72133
"Maui County, HI",167207
"Ada County, ID",469966
"Adams County, ID",4250
"Bannock County, ID",87138
"Bear Lake County, ID",6050
"Benewah County, ID",9226
"Bingham County, ID",46236
"Blaine County, ID",22601
"Boise County, ID",7634
"Bonner County, ID",44727
"Bonneville County, ID",116854
"Boundary County, ID",11948
"Butte County, ID",2611
"Camas County, ID",1127
"Canyon County, ID",223499
"Caribou County, ID",7060
"Cassia County, ID",23864
"Clark County, ID",852
"Clearwater County, ID",8758
"Custer County, ID",4280
"Elmore County, ID",27259
"Franklin County, ID",13726
"Fremont County, ID",13168
"Gem County, ID",17634
"Gooding County, ID",15196
"Idaho County, ID",16513
"Jefferson County, ID",29439
"Jerome County, ID",24015
"Kootenai County, ID",161505
"Latah County, ID",40134
"Lemhi County, ID",7961
"Lewis County, ID",3861
"Lincoln County, ID",5360
"Madison County, ID",39304
"Minidoka County, ID",20825
"Nez Perce County, ID",40408
"Oneida County, ID",4488
"Owyhee County, ID",11693
"Payette County, ID",23551
"Power County, ID",7768
"Shoshone County, ID",12796
"Teton County, ID",11640
"Twin Falls County, ID",86081
"Valley County, ID",11041
"Washington County, ID",10161
"Adams County, IL",65691
"Alexander County, IL",6060
"Bond County, IL",16630
"Boone County, IL",53577
"Brown County, IL",6556
"Bureau County, IL",32993
"Calhoun County, IL",4802
"Carroll County, IL",14312
"Cass County, IL",12260
"Champaign County, IL",209983
"Christian County, IL",32661
"Clark County, IL",15596
"Clay County, IL",13253
"Clinton County, IL",37639
"Coles County, IL",50885
"Cook County, IL",5180493
"Crawford County, IL",18807
"Cumberland County, IL",10808
"DeKalb County, IL",104143
"De Witt County, IL",15769
"Douglas County, IL",19479
"DuPage County, IL",928589
"Edgar County, IL",17360
"Edwards County, IL",6392
"Effingham County, IL",34208
"Fayette County, IL",21416
"Ford County, IL",13264
"Franklin County, IL",38701
"Fulton County, IL",34844
"Gallatin County, IL",5058
"Greene County, IL",13044
"Grundy County, IL",50972
"Hamilton County, IL",8163
"Hancock County, IL",17844
"Hardin County, IL",3910
"Henderson County, IL",6709
"Henry County, IL",49090
"Iroquois County, IL",27604
"Jackson County, IL",57419
"Jasper County, IL",9611
"Jefferson County, IL",37820
"Jersey County, IL",21847
"Jo Daviess County, IL",21366
"Johnson County, IL",12456
"Kane County, IL",534216
"Kankakee County, IL",110024
"Kendall County, IL",127915
"Knox County, IL",50112
"Lake County, IL",700832
"LaSalle County, IL",109430
"Lawrence County, IL",15765
"Lee County, IL",34223
"Livingston County, IL",35761
"Logan County, IL",28925
"McDonough County, IL",29955
"McHenry County, IL",308570
"McLean County, IL",172828
"Macon County, IL",104712
"Macoupin County, IL",45313
"Madison County, IL",264461
"Marion County, IL",37620
"Marshall County, IL",11534
"Mason County, IL",13565
"Massac County, IL",14080
"Menard County, IL",12288
"Mercer County, IL",15601
"Monroe County, IL",34335
"Montgomery County, IL",28601
"Morgan County, IL",33976
"Moultrie County, IL",14717
"Ogle County, IL",50923
"Peoria County, IL",180621
"Perry County, IL",21174
"Piatt County, IL",16396
"Pike County, IL",15611
"Pope County, IL",4212
"Pulaski County, IL",5463
"Putnam County, IL",5740
"Randolph County, IL",32106
"Richland County, IL",15763
"Rock Island County, IL",143477
"St. Clair County, IL",261059
"Saline County, IL",23906
"Sangamon County, IL",195348
"Schuyler County, IL",6907
"Scott County, IL",4926
"Shelby County, IL",21741
"Stark County, IL",5427
"Stephenson County, IL",44753
"Tazewell County, IL",132328
"Union County, IL",16841
"Vermilion County, IL",76806
"Wabash County, IL",11549
"Warren County, IL",17032
"Washington County, IL",13995
"Wayne County, IL",16332
"White County, IL",13665
"Whiteside County, IL",55626
"Will County, IL",692310
"Williamson County, IL",67056
"Winnebago County, IL",284081
"Woodford County, IL",38463
"Adams County, IN",35636
"Allen County, IN",375351
"Bartholomew County, IN",82753
"Benton County, IN",8653
"Blackford County, IN",11930
"Boone County, IN",66999
"Brown County, IN",15234
"Carroll County, IN",20127
"Cass County, IN",37955
"Clark County, IN",117360
"Clay County, IN",26170
"Clinton County, IN",32250
"Crawford County, IN",10558
"Daviess County, IN",33147
"Dearborn County, IN",49568
"Decatur County, IN",26794
"DeKalb County, IN",43226
"Delaware County, IN",114772
"Dubois County, IN",42565
"Elkhart County, IN",205560
"Fayette County, IN",23047
"Floyd County, IN",77781
"Fountain County, IN",16351
"Franklin County, IN",22736
"Fulton County, IN",20092
"Gibson County, IN",33452
"Grant County, IN",65936
"Greene County, IN",32006
"Hamilton County, IN",330086
"Hancock County, IN",76351
"Harrison County, IN",40350
"Hendricks County, IN",167009
"Henry County, IN",48271
"Howard County, IN",82366
"Huntington County, IN",36240
"Jackson County, IN",44111
"Jasper County, IN",33370
"Jay County, IN",20764
"Jefferson County, IN",32208
"Jennings County, IN",27611
"Johnson County, IN",156225
"Knox County, IN",36895
"Kosciusko County, IN",79344
"LaGrange County, IN",39330
"Lake County, IN",484411
"LaPorte County, IN",110007
"Lawrence County, IN",45668
"Madison County, IN",129641
"Marion County, IN",954670
"Marshall County, IN",46248
"Martin County, IN",10217
"Miami County, IN",35567
"Monroe County, IN",146917
"Montgomery County, IN",38346
"Morgan County, IN",70116
"Newton County, IN",14011
"Noble County, IN",47532
"Ohio County, IN",5844
"Orange County, IN",19489
"Owen County, IN",20845
"Parke County, IN",16927
"Perry County, IN",19102
"Pike County, IN",12410
"Porter County, IN",169594
"Posey County, IN",25540
"Pulaski County, IN",12469
"Putnam County, IN",37779
"Randolph County, IN",24851
"Ripley County, IN",28523
"Rush County, IN",16663
"St. Joseph County, IN",270771
"Scott County, IN",23878
"Shelby County, IN",44593
"Spencer County, IN",20327
"Starke County, IN",22935
"Steuben County, IN",34586
"Sullivan County, IN",20690
"Switzerland County, IN",10717
"Tippecanoe County, IN",193048
"Tipton County, IN",15128
"Union County, IN",7037
"Vanderburgh County, IN",180974
"Vermillion County, IN",15479
"Vigo County, IN",107386
"Wabash County, IN",31280
"Warren County, IN",8263
"Warrick County, IN",62567
"Washington County, IN",27943
"Wayne County, IN",65936
"Wells County, IN",28206
"White County, IN",24133
"Whitley County, IN",34074
"Adair County, IA",7063
"Adams County, IA",3645
"Allamakee County, IA",13832
"Appanoose County, IA",12437
"Audubon County, IA",5506
"Benton County, IA",25642
"Black Hawk County, IA",132408
"Boone County, IA",26346
"Bremer County, IA",24947
"Buchanan County, IA",21199
"Buena Vista County, IA",19874
"Butler County, IA",14539
"Calhoun County, IA",9699
"Carroll County, IA",20154
"Cass County, IA",12930
"Cedar County, IA",18627
"Cerro Gordo County, IA",42647
"Cherokee County, IA",11321
"Chickasaw County, IA",11964
"Clarke County, IA",9423
"Clay County, IA",16134
"Clayton County, IA",17556
"Clinton County, IA",46518
"Crawford County, IA",17158
"Dallas County, IA",90180
"Davis County, IA",9017
"Decatur County, IA",7890
"Delaware County, IA",17069
"Des Moines County, IA",39138
"Dickinson County, IA",17153
"Dubuque County, IA",96854
"Emmet County, IA",9253
"Fayette County, IA",19660
"Floyd County, IA",15761
"Franklin County, IA",10124
"Fremont County, IA",6993
"Greene County, IA",8981
"Grundy County, IA",12304
"Guthrie County, IA",10720
"Hamilton County, IA",14952
"Hancock County, IA",10712
"Hardin County, IA",16868
"Harrison County, IA",14134
"Henry County, IA",20067
"Howard County, IA",9187
"Humboldt County, IA",9547
"Ida County, IA",6841
"Iowa County, IA",16141
"Jackson County, IA",19432
"Jasper County, IA",37147
"Jefferson County, IA",18381
"Johnson County, IA",151260
"Jones County, IA",20744
"Keokuk County, IA",10225
"Kossuth County, IA",14908
"Lee County, IA",34055
"Linn County, IA",225909
"Louisa County, IA",11169
"Lucas County, IA",8645
"Lyon County, IA",11811
"Madison County, IA",16249
"Mahaska County, IA",22000
"Marion County, IA",33407
"Marshall County, IA",39981
"Mills County, IA",15063
"Mitchell County, IA",10569
"Monona County, IA",8679
